"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2024","171.34","171.60","171.76","167.35","","-0.15%"
"04/01/2024","171.60","167.76","175.10","166.74","","2.30%"
"03/01/2024","167.74","169.55","170.86","166.65","","-1.04%"
"02/01/2024","169.51","170.55","172.01","169.21","","-0.57%"
"01/01/2024","170.49","167.60","171.87","166.76","","1.75%"
"12/01/2023","167.55","169.31","169.62","162.15","","-1.01%"
"11/01/2023","169.26","166.63","170.57","165.68","","1.62%"
"10/01/2023","166.56","163.35","168.46","160.02","","2.08%"
"09/01/2023","163.17","164.77","166.24","162.01","","-0.94%"
"08/01/2023","164.72","163.18","166.73","161.94","","0.96%"
"07/01/2023","163.15","161.32","164.07","158.48","","1.25%"
"06/01/2023","161.13","152.96","161.69","152.44","","5.33%"
"05/01/2023","152.97","152.41","155.60","149.79","","0.39%"
"04/01/2023","152.37","145.35","153.26","144.29","","5.00%"
"03/01/2023","145.11","144.57","147.95","140.19","","0.42%"
"02/01/2023","144.51","141.96","146.32","139.82","","1.80%"
"01/01/2023","141.96","141.82","143.95","137.40","","0.13%"
"12/01/2022","141.77","145.96","148.54","141.02","","-2.82%"
"11/01/2022","145.89","148.52","149.13","144.63","","-1.75%"
"10/01/2022","148.49","146.61","150.59","145.32","","1.27%"
"09/01/2022","146.63","142.16","151.57","142.04","","3.17%"
"08/01/2022","142.13","140.01","143.46","137.14","","1.57%"
"07/01/2022","139.93","142.10","143.15","138.66","","-1.51%"
"06/01/2022","142.08","134.13","143.77","134.01","","5.95%"
"05/01/2022","134.10","133.30","134.46","127.49","","0.57%"
"04/01/2022","133.34","131.85","136.21","131.82","","1.14%"
"03/01/2022","131.84","125.44","133.57","124.24","","5.14%"
"02/01/2022","125.40","124.16","125.68","123.86","","1.05%"
"01/01/2022","124.10","126.14","127.10","123.54","","-1.59%"
"12/01/2021","126.10","123.17","126.48","122.35","","2.45%"
"11/01/2021","123.09","124.42","125.54","122.11","","-1.09%"
"10/01/2021","124.45","119.43","125.06","118.93","","4.23%"
"09/01/2021","119.40","120.22","120.44","117.53","","-0.66%"
"08/01/2021","120.19","121.06","121.24","119.31","","-0.76%"
"07/01/2021","121.11","120.10","121.21","118.64","","0.87%"
"06/01/2021","120.07","121.83","122.79","118.86","","-1.40%"
"05/01/2021","121.77","119.61","122.56","119.25","","1.82%"
"04/01/2021","119.59","117.36","120.13","116.93","","1.96%"
"03/01/2021","117.29","117.31","118.20","115.89","","-0.01%"
"02/01/2021","117.30","117.57","118.89","116.14","","-0.20%"
"01/01/2021","117.54","117.03","118.03","116.22","","0.81%"
"12/01/2020","116.59","114.74","117.79","114.68","","1.67%"
"11/01/2020","114.67","114.05","116.14","113.74","","0.50%"
"10/01/2020","114.10","114.51","116.62","113.76","","-0.29%"
"09/01/2020","114.43","117.21","117.51","113.25","","-2.32%"
"08/01/2020","117.15","115.99","117.92","114.98","","1.06%"
"07/01/2020","115.92","113.94","116.33","113.00","","1.76%"
"06/01/2020","113.91","112.10","114.61","111.79","","1.60%"
"05/01/2020","112.12","110.99","112.25","108.67","","1.02%"
"04/01/2020","110.99","111.91","112.54","109.15","","-0.79%"
"03/01/2020","111.87","111.21","114.03","109.26","","-0.04%"
"02/01/2020","111.92","112.55","114.29","111.32","","-0.52%"
"01/01/2020","112.50","112.21","114.40","110.90","","0.29%"
"12/01/2019","112.18","109.51","112.57","109.40","","2.48%"
"11/01/2019","109.47","109.53","110.20","108.82","","-0.01%"
"10/01/2019","109.48","108.29","110.40","106.71","","1.12%"
"09/01/2019","108.27","107.41","109.60","106.85","","0.88%"
"08/01/2019","107.33","109.40","109.82","107.18","","-1.87%"
"07/01/2019","109.37","110.74","110.92","109.06","","-1.01%"
"06/01/2019","110.49","108.26","110.59","108.11","","2.17%"
"05/01/2019","108.14","109.32","109.75","107.60","","-1.07%"
"04/01/2019","109.31","111.32","112.00","109.08","","-1.82%"
