Date,Forecast_Value,Lower_interval,Upper_interval
2023 Oct,130088.81929038768,116503.56894377347,143674.06963700187
2023 Nov,106505.84201143032,92920.59166481611,120091.09235804452
2023 Dec,113709.63294877695,100124.38260216275,127294.88329539116
2024 Jan,97797.6746981914,84212.4243515772,111382.92504480561
2024 Feb,104236.68873108827,90651.43838447407,117821.93907770248
2024 Mar,114691.77815745345,101106.52781083924,128277.02850406765
2024 Apr,107134.25629275615,93549.00594614194,120719.50663937036
2024 May,134614.07204790926,121028.82170129505,148199.32239452345
2024 Jun,147206.16472353198,133620.9143769178,160791.41507014618
2024 Jul,168919.936022075,155334.68567546082,182505.1863686892
2024 Aug,164774.1095712172,151188.85922460302,178359.3599178314
2024 Sep,152332.12968536682,138746.87933875262,165917.380031981
2024 Oct,130113.55589031156,116528.30554369735,143698.80623692577
2024 Nov,103739.03957319914,90153.78922658494,117324.28991981335
2024 Dec,111028.59158088591,97443.3412342717,124613.84192750012
