"Creative Commons Licence by attribution (https://creativecommons.org/licenses/by/4.0/). Climate Change Initiative - European Space Agency, These data were produced by the University of Reading as part of the ESA CCI project. (http://surftemp.net)"
"Time series of 1 sea surface_temperature averaged across ocean surface within latitudes 22.50 and 27.50 and longitudes -58.50 and -53.50, in kelvin and degree Celsius. "
year,month,day,mean temperature kelvin,mean temperature deg C,mean temperature uncertainty
1982,1,1,297.90749,24.757494216883117,0.12100
1982,1,2,297.65311,24.503111804927073,0.12040
1982,1,3,297.55872,24.408720483051923,0.11960
1982,1,4,297.49845,24.348448133153568,0.12458
1982,1,5,297.47830,24.328301751587617,0.13905
1982,1,6,297.43576,24.285760709327292,0.11449
1982,1,7,297.42061,24.270607100255347,0.11078
1982,1,8,297.47080,24.320795875750775,0.10997
1982,1,9,297.50470,24.354702633847182,0.10994
1982,1,10,297.49798,24.347978557056706,0.11056
1982,1,11,297.34756,24.197559219607058,0.11463
1982,1,12,297.22652,24.076519882065043,0.11602
1982,1,13,297.13341,23.983406702901334,0.11414
1982,1,14,297.15381,24.00381243635917,0.11182
1982,1,15,297.16192,24.011915476874606,0.11031
1982,1,16,297.19723,24.047233694399154,0.11093
1982,1,17,297.24793,24.097931968312707,0.10933
1982,1,18,297.29768,24.147676585431327,0.11133
1982,1,19,297.30489,24.154893295072668,0.11581
1982,1,20,297.11420,23.96419611283534,0.11793
1982,1,21,297.09174,23.941737066230985,0.11473
1982,1,22,297.10011,23.950107026449416,0.11467
1982,1,23,297.06178,23.91178201864949,0.11402
1982,1,24,297.01682,23.866820359521455,0.11118
1982,1,25,296.99904,23.849038321221713,0.11253
1982,1,26,297.01204,23.86203945206512,0.11139
1982,1,27,296.97776,23.827756408701305,0.11612
1982,1,28,296.92645,23.77645455010918,0.12698
1982,1,29,296.77285,23.622845653565264,0.14715
1982,1,30,296.61817,23.468171874537916,0.13896
1982,1,31,296.59568,23.44567613765423,0.11526
1982,2,1,296.64514,23.495143869130686,0.11302
1982,2,2,296.64276,23.49275679403155,0.11325
1982,2,3,296.59263,23.442629610994004,0.11671
1982,2,4,296.51467,23.364671851129742,0.11946
1982,2,5,296.46893,23.318930409560835,0.12921
1982,2,6,296.35206,23.202055402286874,0.14064
1982,2,7,296.20054,23.05054362269027,0.12724
1982,2,8,296.19496,23.0449604486343,0.11570
1982,2,9,296.28741,23.13741154941357,0.11213
1982,2,10,296.35306,23.203062081162273,0.10985
1982,2,11,296.35894,23.20894139126966,0.10917
1982,2,12,296.34901,23.199007628657,0.11167
1982,2,13,296.35085,23.200848903575547,0.11077
1982,2,14,296.57607,23.426073553043523,0.11977
1982,2,15,296.53259,23.38259257268095,0.11605
1982,2,16,296.29863,23.148625506469727,0.11186
1982,2,17,296.38816,23.238160543736115,0.11031
1982,2,18,296.51469,23.364690033084685,0.11007
1982,2,19,296.54701,23.397012988121503,0.11107
1982,2,20,296.44608,23.29608250290653,0.10947
1982,2,21,296.50931,23.359308605106264,0.10922
1982,2,22,296.60173,23.451730645683142,0.11004
1982,2,23,296.58379,23.433792040482672,0.11518
1982,2,24,296.29952,23.14952243730795,0.11179
1982,2,25,296.35105,23.201051148148736,0.10986
1982,2,26,296.39663,23.246626756489945,0.10948
1982,2,27,296.36030,23.210299684529787,0.10973
1982,2,28,296.27307,23.123073734069294,0.11056
1982,3,1,296.28636,23.136356409509744,0.13023
1982,3,2,296.31866,23.16866372633308,0.13019
1982,3,3,296.32630,23.176296952787084,0.13210
1982,3,4,296.35073,23.200732339688102,0.13389
1982,3,5,296.19453,23.044530527585323,0.13105
1982,3,6,296.13622,22.986224477351527,0.13090
1982,3,7,296.15583,23.0058270975573,0.13149
1982,3,8,296.22112,23.07111557833457,0.12979
1982,3,9,296.25039,23.100392394452626,0.13072
1982,3,10,296.26894,23.118943193823327,0.13083
1982,3,11,296.25226,23.102258922954434,0.13400
1982,3,12,296.21769,23.06768833408222,0.13753
1982,3,13,296.19833,23.04833415008909,0.13961
1982,3,14,296.23571,23.085710514895368,0.13051
1982,3,15,296.42239,23.272393179569463,0.12916
1982,3,16,296.61845,23.46844502645274,0.12886
1982,3,17,296.75869,23.608690571724367,0.13071
1982,3,18,296.73743,23.58742695376577,0.13146
1982,3,19,296.67717,23.52717242153028,0.13089
1982,3,20,296.47668,23.32668471592882,0.13656
1982,3,21,296.37325,23.223251788992968,0.13242
1982,3,22,296.60139,23.451391703347383,0.12970
1982,3,23,296.61937,23.4693675525113,0.13136
1982,3,24,296.59559,23.44559041200381,0.13034
1982,3,25,296.50743,23.357433732380514,0.13081
1982,3,26,296.46079,23.310786914774894,0.13039
1982,3,27,296.42993,23.279931344347403,0.13089
1982,3,28,296.41150,23.261495813922863,0.13171
1982,3,29,296.48049,23.33048976081426,0.13747
1982,3,30,296.47718,23.327181677233852,0.16353
1982,3,31,296.70073,23.550732918582526,0.14168
1982,4,1,296.72242,23.5724166525348,0.13431
1982,4,2,296.58559,23.435591606755395,0.13154
1982,4,3,296.49505,23.34505492431009,0.13034
1982,4,4,296.38397,23.233974820820094,0.13306
1982,4,5,296.37828,23.228278690455397,0.14346
1982,4,6,296.41924,23.269243880282943,0.14016
1982,4,7,296.49444,23.34444027757786,0.15346
1982,4,8,296.71308,23.56308002374243,0.13439
1982,4,9,296.69955,23.549548109293255,0.13055
1982,4,10,296.69749,23.547488857147073,0.12941
1982,4,11,296.75449,23.604490637651338,0.13128
1982,4,12,296.82385,23.673853876653652,0.12940
1982,4,13,296.86008,23.71007925763314,0.13154
1982,4,14,296.91284,23.76283992561366,0.14074
1982,4,15,297.05297,23.902970040648313,0.13578
1982,4,16,297.05852,23.908524528652947,0.13385
1982,4,17,297.04019,23.890192530314778,0.13390
1982,4,18,297.04759,23.89758526172824,0.13294
1982,4,19,297.10792,23.957918728517882,0.13251
1982,4,20,297.15020,24.00020397141111,0.13173
1982,4,21,297.10791,23.95790552957419,0.12937
1982,4,22,297.06125,23.911251498140984,0.13114
1982,4,23,296.98601,23.836013671621345,0.13334
1982,4,24,297.06446,23.914462711016824,0.14431
1982,4,25,297.00969,23.859691846912597,0.15557
1982,4,26,296.95817,23.808168966050744,0.13979
1982,4,27,296.95708,23.807076345380437,0.13903
1982,4,28,297.02613,23.876128017842518,0.13173
1982,4,29,297.01411,23.8641071139038,0.13265
1982,4,30,296.95925,23.80924655307632,0.13490
1982,5,1,296.88022,23.730219336099083,0.15681
1982,5,2,296.87452,23.724521169612558,0.17714
1982,5,3,296.88219,23.73219467436917,0.24290
1982,5,4,296.94235,23.792350870865107,0.30401
1982,5,5,296.99730,23.847303062211665,0.29853
1982,5,6,296.64982,23.49982161168691,0.20876
1982,5,7,296.46953,23.319527473815924,0.13926
1982,5,8,296.42649,23.276494619481696,0.13769
1982,5,9,296.51195,23.361946459680098,0.13916
1982,5,10,296.80857,23.65856900499267,0.26303
1982,5,11,296.87190,23.72189950824361,0.25264
1982,5,12,297.04013,23.89012542201857,0.21788
1982,5,13,297.08160,23.931604851475697,0.22040
1982,5,14,297.23384,24.08383867888199,0.22598
